Занимаемая должность;Тип должности
Аппаратчик производства кисломолочных и детских молочных продуктов;не медицинская должность
Аппаратчик производства контактной массы;не медицинская должность
Аппаратчик производства контактной серной кислоты;не медицинская должность
Аппаратчик производства корунда;не медицинская должность
Аппаратчик производства костного клея;не медицинская должность
Аппаратчик производства красителей для меха;не медицинская должность
Аппаратчик производства красного фосфора;не медицинская должность
Аппаратчик производства кремнийорганических лаков;не медицинская должность
Аппаратчик производства креолина и лизола;не медицинская должность
Аппаратчик производства криолита;не медицинская должность
Аппаратчик производства литопона;не медицинская должность
